feature,coefficient,type
client01,0.19990342299947406,client
client02,-0.3182178467196461,client
client03,1.5592703176359128,client
client04,-0.6695890075666658,client
client05,0.8180587555041033,client
client06,0.025676045573819358,client
client07,-0.15445784420204275,client
client08,-0.380156905474482,client
client09,-0.7955366856942805,client
client10,-0.03881198649010957,client
client11,0.04484140777331994,client
client12,-0.05509377180016493,client
client13,0.3307115203336197,client
client14,-0.01435844074432262,client
client15,0.14122677500643355,client
client16,-0.6933836256043583,client
gru03,0.19877100723702348,server
gru05,0.6680992869484432,server
gru06,0.840892084948279,server
rnp_rj,-1.7626019029254003,server
rnp_sp,0.054921654322264084,server
throughput_download_mean,2.154480501537644,metric
throughput_upload_mean,1.0485512569459057,metric
rtt_download_mean,-0.025309916234142846,metric
rtt_upload_mean,0.7355390691153858,metric
throughput_download_std,0.18455339577343047,metric
throughput_upload_std,0.3089310933436215,metric
rtt_download_std,-0.7568480333239223,metric
rtt_upload_std,-0.4134749207409677,metric
