feature,coefficient,type
client01,0.7486825284555193,client
client02,-1.9978997040946573,client
client03,0.6170196532500012,client
client04,0.23134330962743394,client
client05,1.3289050404881122,client
client06,-1.0034583035247184,client
client07,-1.5379605234425577,client
client08,0.30864955459241455,client
client09,0.004542783313852147,client
client10,0.04755667034716733,client
client11,0.7841084137032361,client
client12,0.08901268391226634,client
client13,-0.9369189106969601,client
client14,0.7388691936585228,client
client15,0.5426348440054372,client
client16,0.034940752818747416,client
gru03,-0.41972537960561673,server
gru05,1.507015606061765,server
gru06,1.8974111295466276,server
rnp_rj,-1.7617619355807628,server
rnp_sp,-1.2229114340081935,server
throughput_download_mean,-0.0149537239207336,metric
throughput_upload_mean,0.6858863893142176,metric
rtt_download_mean,-1.5920549752866766,metric
rtt_upload_mean,-0.6199169698406076,metric
throughput_download_std,-1.0413018007944699,metric
throughput_upload_std,0.18597663525679423,metric
rtt_download_std,-0.33455627169335184,metric
rtt_upload_std,0.9051346397451346,metric
