feature,coefficient,type
client01,0.02500310328447367,client
client02,-0.6515054252791003,client
client03,0.6016035555317448,client
client04,-0.20148645092043838,client
client05,0.8722492779340207,client
client06,0.40004509990634773,client
client07,-0.6036415680551067,client
client08,-0.45616004953575806,client
client09,-0.9922840080656792,client
client10,-0.010868156232644479,client
client11,0.09273466158904149,client
client12,-0.7821428635393808,client
client13,0.5795422957612376,client
client14,0.1137166308983637,client
client15,0.09878330445650693,client
client16,0.9177596356360169,client
gru03,0.15002475706715585,server
gru05,0.5907924467674934,server
gru06,0.5872500007795367,server
rnp_rj,-0.903056361978667,server
rnp_sp,-0.4216617992658739,server
throughput_download_mean,1.3197135224524068,metric
throughput_upload_mean,0.6422444230690962,metric
rtt_download_mean,-0.6624600468428069,metric
rtt_upload_mean,0.21663696454943074,metric
throughput_download_std,-0.589379285905609,metric
throughput_upload_std,0.8280717209592928,metric
rtt_download_std,-1.9935349937043039,metric
rtt_upload_std,-0.12425695662608327,metric
