feature,coefficient,type
client01,0.8325555256356182,client
client02,-1.9520590967485794,client
client03,0.4734962800206213,client
client04,0.1232747429645328,client
client05,1.3414314326728174,client
client06,0.3746463827312885,client
client07,-1.7344425084674473,client
client08,-0.40080173267571745,client
client09,-0.31698766988701566,client
client10,-0.2823155657428465,client
client11,0.6814997914296159,client
client12,0.4860172900172472,client
client13,-0.6060202456798374,client
client14,0.5455196666605674,client
client15,0.40475698237720503,client
client16,0.046124913111001115,client
gru03,-0.46353844588282145,server
gru05,1.8157559833562225,server
gru06,1.2646868813486645,server
rnp_rj,-1.3675436001349883,server
rnp_sp,-1.2326646302680049,server
throughput_download_mean,0.11280048936187305,metric
throughput_upload_mean,0.41259806971689317,metric
rtt_download_mean,-1.4540723481516693,metric
rtt_upload_mean,-0.6237261321740339,metric
throughput_download_std,-0.5446198541914569,metric
throughput_upload_std,0.47926711793495863,metric
rtt_download_std,-0.9938423881270549,metric
rtt_upload_std,0.8974343784946947,metric
